analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,2.666453649286945,46.518985176938244,41.18607787836436,guard,43.8525315276513,1BDP_to_1MB_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,7.675917850764762,116.59419785076477,101.24236214923525,guard,108.91828000000001,1BDP_to_1MB_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,38.41420414987705,194.89482414987702,118.06641585012294,guard,156.48062,1BDP_to_1MB_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,7.52206567897262,117.32206567897262,102.27793432102737,guard,109.8,1BDP_to_1MB_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.026779616258091627,1.2243417455994445,1.1707825130832614,guard,1.197562129341353,1BDP_to_1MB_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.14772413349142877,1.7635443094018362,1.4680960424189786,guard,1.6158201759104074,1BDP_to_1MB_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.35213104603890333,2.4453017317472323,1.7410396396694257,guard,2.093170685708329,1BDP_to_1MB_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.13246068105609385,9.211121082903022,8.946199720790835,guard,9.078660401846928,8KB_to_1BDP_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.4740951730844358,15.127605173084437,14.179414826915565,guard,14.65351,8KB_to_1BDP_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.41267415220794623,17.825926152207945,17.000577847792055,guard,17.413252,8KB_to_1BDP_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,36.70162190627516,983.9016219062752,910.4983780937249,guard,947.2,8KB_to_1BDP_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.00222870653580496,1.0317404348303505,1.0272830217587408,guard,1.0295117282945456,8KB_to_1BDP_slowdown_mean,5,2.7764451051977987,AliStorage30
