seed,flow_id,source,destination,is_target,grant_event_rate_changes,shared_fabric_event_rate_changes,first_grant_change_ns,first_shared_fabric_change_ns
1,0,0,8,1,1,258,2003512253,2003724019
1,1,,,0,4,0,2003504758,
1,2,,,0,4,0,2003504584,
1,3,,,0,3,0,2003504591,
1,4,,,0,0,311,,2003673204
1,5,,,0,0,315,,2003672341
1,6,,,0,0,307,,2003675031
1,7,,,0,0,310,,2003675292
1,8,,,0,0,295,,2003668506
1,9,,,0,0,285,,2003668245
1,10,,,0,0,305,,2003675640
2,0,0,8,1,1,279,2003513805,2003729024
2,1,,,0,4,0,2003505179,
2,2,,,0,3,0,2003504316,
2,3,,,0,4,0,2003504309,
2,4,,,0,0,310,,2003675283
2,5,,,0,0,306,,2003673605
2,6,,,0,0,313,,2003673456
2,7,,,0,0,275,,2003668907
2,8,,,0,0,298,,2003671256
2,9,,,0,0,297,,2003671952
2,10,,,0,0,300,,2003670473
3,0,0,8,1,1,286,2003512665,2003724508
3,1,,,0,4,0,2003504554,
3,2,,,0,3,0,2003504561,
3,3,,,0,4,0,2003504641,
3,4,,,0,0,313,,2003675286
3,5,,,0,0,275,,2003668568
3,6,,,0,0,288,,2003668394
3,7,,,0,0,309,,2003675808
3,8,,,0,0,313,,2003671110
3,9,,,0,0,299,,2003670327
3,10,,,0,0,316,,2003676330
4,0,0,8,1,1,270,2003512960,2003722809
4,1,,,0,3,0,2003504341,
4,2,,,0,3,0,2003504595,
4,3,,,0,5,0,2003504334,
4,4,,,0,0,286,,2003668881
4,5,,,0,0,314,,2003670708
4,6,,,0,0,311,,2003675668
4,7,,,0,0,316,,2003675406
4,8,,,0,0,291,,2003675319
4,9,,,0,0,281,,2003668620
4,10,,,0,0,307,,2003671665
5,0,0,8,1,1,309,2003512930,2003724258
5,1,,,0,3,0,2003504659,
5,2,,,0,5,0,2003504652,
5,3,,,0,3,0,2003504826,
5,4,,,0,0,298,,2003673988
5,5,,,0,0,299,,2003675293
5,6,,,0,0,265,,2003667463
5,7,,,0,0,274,,2003669203
5,8,,,0,0,303,,2003675380
5,9,,,0,0,308,,2003671813
5,10,,,0,0,313,,2003675119
