analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,3.810317929747239,48.20656906331197,40.58593320381748,guard,44.396251133564725,1BDP_to_1MB_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,14.244585993406082,132.20554599340605,103.7163740065939,guard,117.96095999999997,1BDP_to_1MB_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,55.978551439770044,261.7359414397697,149.77883856022964,guard,205.75738999999967,1BDP_to_1MB_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,15.62228464041409,320.02228464041406,288.7777153595859,guard,304.4,1BDP_to_1MB_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.03863047427819916,1.2629041466505033,1.1856431980941051,guard,1.2242736723723042,1BDP_to_1MB_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.16318959180849207,1.9440617524834811,1.617682568866497,guard,1.780872160674989,1BDP_to_1MB_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.44170948841189905,2.975496123938579,2.0920771471147814,guard,2.5337866355266803,1BDP_to_1MB_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.07683975309956227,9.008564162121479,8.854884655922353,guard,8.931724409021916,8KB_to_1BDP_fct_us_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.18961149218519585,14.811791492185192,14.432568507814802,guard,14.622179999999997,8KB_to_1BDP_fct_us_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.24306084340879788,18.2580548434088,17.771933156591203,guard,18.014994,8KB_to_1BDP_fct_us_p99,5,2.7764451051977987,AliStorage2019
arm_mean,51.2553123244592,2609.2553123244593,2506.7446876755407,guard,2558.0,8KB_to_1BDP_flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.0012094224629795494,1.032141268464311,1.029722423538352,guard,1.0309318460013315,8KB_to_1BDP_slowdown_mean,5,2.7764451051977987,AliStorage2019
arm_mean,0.015018258413568698,1.1391732626232338,1.1091367457960963,guard,1.124155004209665,8KB_to_1BDP_slowdown_p95,5,2.7764451051977987,AliStorage2019
arm_mean,0.02415716141457188,1.3142204516723883,1.2659061288432445,guard,1.2900632902578164,8KB_to_1BDP_slowdown_p99,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,0.0,0.0,guard,0.0,completion_releases,5,2.7764451051977987,AliStorage2019
arm_mean,0.0,3.0,3.0,guard,3.0,elapsed_seconds,5,2.7764451051977987,AliStorage2019
arm_mean,235.4278109656767,10007.627810965678,9536.772189034324,guard,9772.2,flow_count,5,2.7764451051977987,AliStorage2019
arm_mean,0.6800873806582569,1.080087380658257,-0.2800873806582569,guard,0.4,grant_binding_rate_changes,5,2.7764451051977987,AliStorage2019
arm_mean,11.43410076394811,29.03410076394811,6.165899236051892,guard,17.6,grant_binding_updates,5,2.7764451051977987,AliStorage2019
arm_mean,34407.694529363675,456185.69452936365,387370.30547063635,guard,421778.0,grant_bytes_sent,5,2.7764451051977987,AliStorage2019
arm_mean,134.0404897512852,495.24048975128517,227.15951024871478,guard,361.2,grant_event_rate_changes,5,2.7764451051977987,AliStorage2019
