workload,seed,arm,metric,value
AliStorage2019,11,guard,1BDP_to_1MB_fct_us_mean,49.6136
AliStorage2019,11,guard,1BDP_to_1MB_fct_us_p95,148.0478
AliStorage2019,11,guard,1BDP_to_1MB_fct_us_p99,288.3660900000001
AliStorage2019,11,guard,1BDP_to_1MB_flow_count,290.0
AliStorage2019,11,guard,1BDP_to_1MB_slowdown_mean,1.2869286654950116
AliStorage2019,11,guard,1BDP_to_1MB_slowdown_p95,2.101847876008401
AliStorage2019,11,guard,1BDP_to_1MB_slowdown_p99,3.2584301489343765
AliStorage2019,11,guard,8KB_to_1BDP_fct_us_mean,8.867630242400924
AliStorage2019,11,guard,8KB_to_1BDP_fct_us_p95,14.447399999999998
AliStorage2019,11,guard,8KB_to_1BDP_fct_us_p99,17.52974
AliStorage2019,11,guard,8KB_to_1BDP_flow_count,2599.0
AliStorage2019,11,guard,8KB_to_1BDP_slowdown_mean,1.030766567375654
AliStorage2019,11,guard,8KB_to_1BDP_slowdown_p95,1.1224261725499203
AliStorage2019,11,guard,8KB_to_1BDP_slowdown_p99,1.2969605715313597
AliStorage2019,11,guard,aggregate_goodput_gbps,171.8319123637815
AliStorage2019,11,guard,completion_releases,0.0
AliStorage2019,11,guard,completion_span_us,20053.444
AliStorage2019,11,guard,grant_binding_rate_changes,3.0
AliStorage2019,11,guard,grant_binding_updates,78.0
AliStorage2019,11,guard,grant_bytes_sent,515966.0
AliStorage2019,11,guard,grant_event_rate_changes,1601.0
AliStorage2019,11,guard,grants_received,5489.0
AliStorage2019,11,guard,grants_sent,5489.0
AliStorage2019,11,guard,gt_1MB_fct_us_mean,243.33788079470196
AliStorage2019,11,guard,gt_1MB_fct_us_p95,497.62699999999995
AliStorage2019,11,guard,gt_1MB_fct_us_p99,629.2535
AliStorage2019,11,guard,gt_1MB_flow_count,151.0
AliStorage2019,11,guard,gt_1MB_slowdown_mean,1.7622781385075361
AliStorage2019,11,guard,gt_1MB_slowdown_p95,3.563130246430773
AliStorage2019,11,guard,gt_1MB_slowdown_p99,4.097881232373073
AliStorage2019,11,guard,guard_ack_interval_packets,8.0
AliStorage2019,11,guard,guard_adaptive_grant_updates,0.0
AliStorage2019,11,guard,guard_fixed_window,1.0
AliStorage2019,11,guard,guard_grant_refresh_bdps,1.0
AliStorage2019,11,guard,guard_long_acks_suppressed,299146.0
AliStorage2019,11,guard,guard_min_share_fraction,0.0
AliStorage2019,11,guard,guard_one_rtt_acks_suppressed,83733.0
AliStorage2019,11,guard,guard_one_rtt_bypass_enabled,1.0
AliStorage2019,11,guard,guard_one_rtt_bypass_feedbacks,9130.0
