workload,seed,arm,git_sha,flow_sha256,flow_count,completed_flow_count,completion_fraction,output_id,output_dir,output_bytes,elapsed_seconds,passed,failures
AliStorage2019,11,guard,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,773594123,mix/output/773594123,1077056,3,True,
AliStorage2019,11,no_priority,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,504465808,mix/output/504465808,1219148,3,True,
AliStorage2019,11,no_srpt,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,210930275,mix/output/210930275,1121280,3,True,
AliStorage2019,11,no_reclaim,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,186154975,mix/output/186154975,1077312,3,True,
AliStorage2019,11,no_one_rtt,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,633274325,mix/output/633274325,1078746,4,True,
AliStorage2019,11,no_tail,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,25750104,mix/output/25750104,1079072,3,True,
AliStorage2019,11,no_remaining,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,6490925,mix/output/6490925,1076681,3,True,
AliStorage2019,11,no_ack_coalescing,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,648384578,mix/output/648384578,1097645,5,True,
AliStorage2019,11,no_fixed_window,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,e18f69ebac4d4724fd669f93f86ee48b535aee0b29e0b4a4d38c5dc4b02575b5,9723,9723,1.0,553039,mix/output/553039,1077443,3,True,
AliStorage2019,12,guard,2d805e3ebb3cfe7590fe30678ee0edd5b53b09b1,8e094f582305aef2d7176f9d35dbe637706523eb0e842f2f02c96f636f53b8fe,9733,9733,1.0,5056186,mix/output/5056186,1069608,3,True,
