analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,3.1669600214757523,51.1594234663492,44.8255034233977,eta000_rho100_q64,47.99246344487345,1BDP_to_1MB_fct_us_mean,5
arm_mean,12.378542978336725,144.7334129783367,119.97632702166325,eta000_rho100_q64,132.35486999999998,1BDP_to_1MB_fct_us_p95,5
arm_mean,24.281078422442302,219.7421404224425,171.1799835775579,eta000_rho100_q64,195.4610620000002,1BDP_to_1MB_fct_us_p99,5
arm_mean,6.019189553771424,197.0191895537714,184.9808104462286,eta000_rho100_q64,191.0,1BDP_to_1MB_flow_count,5
arm_mean,0.02561929742173005,1.3278852641446823,1.2766466693012224,eta000_rho100_q64,1.3022659667229524,1BDP_to_1MB_slowdown_mean,5
arm_mean,0.17428208777870277,2.1445590382648514,1.7959948627074458,eta000_rho100_q64,1.9702769504861486,1BDP_to_1MB_slowdown_p95,5
arm_mean,0.2799093669687703,2.8326301946861916,2.2728114607486507,eta000_rho100_q64,2.552720827717421,1BDP_to_1MB_slowdown_p99,5
arm_mean,0.12791744670479133,9.295646926891653,9.039812033482072,eta000_rho100_q64,9.167729480186862,8KB_to_1BDP_fct_us_mean,5
arm_mean,0.6350966876768535,15.758116687676853,14.487923312323147,eta000_rho100_q64,15.12302,8KB_to_1BDP_fct_us_p95,5
arm_mean,0.38096165914545566,18.719555659145453,17.95763234085454,eta000_rho100_q64,18.338593999999997,8KB_to_1BDP_fct_us_p99,5
arm_mean,49.864830416811344,1638.2648304168115,1538.5351695831887,eta000_rho100_q64,1588.4,8KB_to_1BDP_flow_count,5
arm_mean,0.002338228684281377,1.047349492444099,1.042673035075536,eta000_rho100_q64,1.0450112637598175,8KB_to_1BDP_slowdown_mean,5
arm_mean,0.018410944270988713,1.2033397255602918,1.1665178370183142,eta000_rho100_q64,1.184928781289303,8KB_to_1BDP_slowdown_p95,5
arm_mean,0.026373044694550037,1.4011274605657025,1.3483813711766024,eta000_rho100_q64,1.3747544158711524,8KB_to_1BDP_slowdown_p99,5
arm_mean,14.5403233495316,207.46719745959848,178.38655076053527,eta000_rho100_q64,192.92687411006688,aggregate_goodput_gbps,5
arm_mean,0.0,0.0,0.0,eta000_rho100_q64,0.0,completion_releases,5
arm_mean,64.15986687685752,10209.204666876858,10080.884933123141,eta000_rho100_q64,10145.0448,completion_span_us,5
