arm,metric,seed,value
eta000_rho100_q64,1BDP_to_1MB_fct_us_mean,26,44.72643367346939
eta000_rho100_q64,1BDP_to_1MB_fct_us_p95,26,129.21724999999998
eta000_rho100_q64,1BDP_to_1MB_fct_us_p99,26,170.19115000000053
eta000_rho100_q64,1BDP_to_1MB_flow_count,26,196.0
eta000_rho100_q64,1BDP_to_1MB_slowdown_mean,26,1.2836642484613754
eta000_rho100_q64,1BDP_to_1MB_slowdown_p95,26,1.792921705417647
eta000_rho100_q64,1BDP_to_1MB_slowdown_p99,26,2.3979371086108943
eta000_rho100_q64,8KB_to_1BDP_fct_us_mean,26,9.178778465346536
eta000_rho100_q64,8KB_to_1BDP_fct_us_p95,26,15.307500000000001
eta000_rho100_q64,8KB_to_1BDP_fct_us_p99,26,18.281649999999985
eta000_rho100_q64,8KB_to_1BDP_flow_count,26,1616.0
eta000_rho100_q64,8KB_to_1BDP_slowdown_mean,26,1.0454165951440788
eta000_rho100_q64,8KB_to_1BDP_slowdown_p95,26,1.2025424995110332
eta000_rho100_q64,8KB_to_1BDP_slowdown_p99,26,1.399732244557866
eta000_rho100_q64,aggregate_goodput_gbps,26,179.41743413180436
eta000_rho100_q64,completion_releases,26,0.0
eta000_rho100_q64,completion_span_us,26,10153.99
eta000_rho100_q64,grant_binding_rate_changes,26,0.0
eta000_rho100_q64,grant_binding_updates,26,86.0
eta000_rho100_q64,grant_bytes_sent,26,293468.0
eta000_rho100_q64,grant_event_rate_changes,26,1402.0
eta000_rho100_q64,grants_received,26,3122.0
eta000_rho100_q64,grants_sent,26,3122.0
eta000_rho100_q64,gt_1MB_fct_us_mean,26,255.33154545454548
eta000_rho100_q64,gt_1MB_fct_us_p95,26,420.80924999999996
eta000_rho100_q64,gt_1MB_fct_us_p99,26,457.7597499999998
eta000_rho100_q64,gt_1MB_flow_count,26,66.0
eta000_rho100_q64,gt_1MB_slowdown_mean,26,1.8653910391919668
eta000_rho100_q64,gt_1MB_slowdown_p95,26,2.791088677293336
eta000_rho100_q64,gt_1MB_slowdown_p99,26,3.6326088921509
eta000_rho100_q64,guard_ack_interval_packets,26,8.0
eta000_rho100_q64,guard_adaptive_grant_updates,26,0.0
eta000_rho100_q64,guard_fixed_window,26,1.0
eta000_rho100_q64,guard_grant_refresh_bdps,26,1.0
eta000_rho100_q64,guard_long_acks_suppressed,26,150004.0
eta000_rho100_q64,guard_min_share_fraction,26,0.0
eta000_rho100_q64,guard_one_rtt_acks_suppressed,26,53020.0
eta000_rho100_q64,guard_one_rtt_bypass_enabled,26,1.0
eta000_rho100_q64,guard_one_rtt_bypass_feedbacks,26,5767.0
eta000_rho100_q64,guard_one_rtt_bypass_flows,26,5767.0
eta000_rho100_q64,guard_rebalance_events,26,0.0
eta000_rho100_q64,guard_remaining_aware,26,1.0
eta000_rho100_q64,guard_remaining_exponent,26,1.0
eta000_rho100_q64,guard_remaining_refresh_events,26,1962.0
eta000_rho100_q64,guard_sender_srpt_enabled,26,1.0
eta000_rho100_q64,guard_sender_srpt_forced_rr,26,92.0
eta000_rho100_q64,guard_sender_srpt_non_rr,26,29855.0
eta000_rho100_q64,guard_sender_srpt_selections,26,230761.0
eta000_rho100_q64,guard_srpt_quantum_packets,26,64.0
eta000_rho100_q64,guard_tail_bypass_bdps,26,8.0
eta000_rho100_q64,guard_tail_bypass_enabled,26,1.0
eta000_rho100_q64,guard_tail_bypass_feedbacks,26,13289.0
eta000_rho100_q64,guard_tail_bypass_flows,26,361.0
eta000_rho100_q64,hpcc_actual_rate_changes,26,18.0
eta000_rho100_q64,hpcc_fast_computations,26,0.0
eta000_rho100_q64,hpcc_feedback_updates,26,1543.0
eta000_rho100_q64,hpcc_full_computations,26,305.0
eta000_rho100_q64,hpcc_rate_updates_applied,26,305.0
eta000_rho100_q64,hpcc_valid_feedback,26,347.0
eta000_rho100_q64,int_hops_after_strip,26,29088.0
eta000_rho100_q64,int_hops_before_strip,26,56825.0
eta000_rho100_q64,int_records_stripped,26,27737.0
eta000_rho100_q64,irn_nacks_generated,26,0.0
eta000_rho100_q64,irn_nacks_received,26,0.0
eta000_rho100_q64,irn_retransmit_bytes,26,0.0
eta000_rho100_q64,irn_retransmit_packets,26,0.0
eta000_rho100_q64,le_8KB_fct_us_mean,26,6.981836
eta000_rho100_q64,le_8KB_fct_us_p95,26,9.12555
eta000_rho100_q64,le_8KB_fct_us_p99,26,9.36851
eta000_rho100_q64,le_8KB_flow_count,26,4250.0
eta000_rho100_q64,le_8KB_slowdown_mean,26,1.0104461749751237
eta000_rho100_q64,le_8KB_slowdown_p95,26,1.040368495548675
eta000_rho100_q64,le_8KB_slowdown_p99,26,1.0845285571458607
eta000_rho100_q64,long_to_small_slowdown_mean_ratio,26,1.8461062898653569
eta000_rho100_q64,max_active_flows,26,3.0
