arm,elapsed_seconds,flow_count,flow_sha256,git_sha,output_bytes,output_dir,output_id,passed,seed
eta000_rho100_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,651541,mix/output/234455590,234455590,True,26
eta000_rho075_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,649605,mix/output/118760174,118760174,True,26
eta000_rho050_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,648505,mix/output/890919244,890919244,True,26
eta010_rho100_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,651970,mix/output/237968793,237968793,True,26
eta010_rho075_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,651234,mix/output/311527826,311527826,True,26
eta010_rho050_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650299,mix/output/558129035,558129035,True,26
eta020_rho100_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650789,mix/output/230800732,230800732,True,26
eta020_rho075_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,652112,mix/output/988852220,988852220,True,26
eta020_rho050_q64,2,6128,9d7bb1864114ae8cac16fd80778288046107ef3556f4de0c7e72cc23c63ea04f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650481,mix/output/45730874,45730874,True,26
eta000_rho100_q64,2,6202,b6f11f95583a3979be1c0787192a4677e17a32fb0830390bcda9019d75553825,93cfac0658adf49c0abe5123d79f4a5d86e30c76,654822,mix/output/457344925,457344925,True,27
