analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,5.847942880456599,54.048926418061335,42.353040657148135,tail_ungated,48.200983537604735,1BDP_to_1MB_fct_us_mean,5
arm_mean,25.225641442294563,164.05318144229457,113.60189855770544,tail_ungated,138.82754,1BDP_to_1MB_fct_us_p95,5
arm_mean,34.11702972098774,249.30342172098764,181.06936227901215,tail_ungated,215.1863919999999,1BDP_to_1MB_fct_us_p99,5
arm_mean,11.890188969176341,205.69018896917635,181.90981103082368,tail_ungated,193.8,1BDP_to_1MB_flow_count,5
arm_mean,0.0629128084697952,1.3918597029459558,1.2660340860063655,tail_ungated,1.3289468944761607,1BDP_to_1MB_slowdown_mean,5
arm_mean,0.19946382414757,2.1733137733613144,1.7743861250661743,tail_ungated,1.9738499492137442,1BDP_to_1MB_slowdown_p95,5
arm_mean,0.10425496640905067,2.7840169027847574,2.575506969966656,tail_ungated,2.679761936375707,1BDP_to_1MB_slowdown_p99,5
arm_mean,0.10262108977809589,9.292657713562914,9.087415534006723,tail_ungated,9.190036623784819,8KB_to_1BDP_fct_us_mean,5
arm_mean,0.2265502750235765,15.230640275023577,14.777539724976423,tail_ungated,15.00409,8KB_to_1BDP_fct_us_p95,5
arm_mean,0.49328378574954385,18.828885785749534,17.842318214250447,tail_ungated,18.33560199999999,8KB_to_1BDP_fct_us_p99,5
arm_mean,58.67043054127721,1632.8704305412773,1515.5295694587228,tail_ungated,1574.2,8KB_to_1BDP_flow_count,5
arm_mean,0.00460703506968998,1.0494229493744294,1.0402088792350492,tail_ungated,1.0448159143047393,8KB_to_1BDP_slowdown_mean,5
arm_mean,0.029427235224892885,1.2128464733101478,1.1539920028603619,tail_ungated,1.1834192380852548,8KB_to_1BDP_slowdown_p95,5
arm_mean,0.05255356715750829,1.4322065766086893,1.3270994422936726,tail_ungated,1.379653009451181,8KB_to_1BDP_slowdown_p99,5
arm_mean,14.928282717780336,213.1380332256771,183.2814677901164,tail_ungated,198.20975050789676,aggregate_goodput_gbps,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,completion_releases,5
arm_mean,72.14559858154404,10186.632798581544,10042.341601418455,tail_ungated,10114.4872,completion_span_us,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,grant_binding_rate_changes,5
arm_mean,43.93455717898013,137.93455717898013,50.06544282101987,tail_ungated,94.0,grant_binding_updates,5
arm_mean,57236.75926524537,368940.75926524535,254467.24073475463,tail_ungated,311704.0,grant_bytes_sent,5
arm_mean,556.7662073552403,1756.7662073552403,643.2337926447597,tail_ungated,1200.0,grant_event_rate_changes,5
arm_mean,608.901694311121,3924.901694311121,2707.098305688879,tail_ungated,3316.0,grants_received,5
arm_mean,608.901694311121,3924.901694311121,2707.098305688879,tail_ungated,3316.0,grants_sent,5
arm_mean,19.06193372971646,263.37905604007244,225.2551885806395,tail_ungated,244.31712231035596,gt_1MB_fct_us_mean,5
arm_mean,73.41688069485019,521.9894406948501,375.15567930514976,tail_ungated,448.57255999999995,gt_1MB_fct_us_p95,5
arm_mean,170.67991747739765,760.4172734773979,419.0574385226025,tail_ungated,589.7373560000002,gt_1MB_fct_us_p99,5
arm_mean,10.388506336835697,92.38850633683569,71.61149366316431,tail_ungated,82.0,gt_1MB_flow_count,5
arm_mean,0.145273816011799,1.9404883232475798,1.6499406912239818,tail_ungated,1.7952145072357808,gt_1MB_slowdown_mean,5
arm_mean,0.5408720619524902,3.657897716816327,2.576153592911347,tail_ungated,3.117025654863837,gt_1MB_slowdown_p95,5
arm_mean,1.127324174649167,5.091960828970935,2.8373124796726006,tail_ungated,3.9646366543217675,gt_1MB_slowdown_p99,5
arm_mean,0.0,8.0,8.0,tail_ungated,8.0,guard_ack_interval_packets,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,guard_adaptive_grant_updates,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_fixed_window,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_grant_refresh_bdps,5
arm_mean,15924.105188235051,186568.70518823506,154720.49481176495,tail_ungated,170644.6,guard_long_acks_suppressed,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,guard_min_share_fraction,5
arm_mean,1550.497460024096,53844.097460024095,50743.1025399759,tail_ungated,52293.6,guard_one_rtt_acks_suppressed,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_one_rtt_bypass_enabled,5
arm_mean,100.28080029659985,5831.0808002966,5630.519199703401,tail_ungated,5730.8,guard_one_rtt_bypass_feedbacks,5
arm_mean,100.28080029659985,5831.0808002966,5630.519199703401,tail_ungated,5730.8,guard_one_rtt_bypass_flows,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,guard_rebalance_events,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_remaining_aware,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_remaining_exponent,5
arm_mean,280.1065737778297,2520.3065737778297,1960.0934262221701,tail_ungated,2240.2,guard_remaining_refresh_events,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_sender_srpt_enabled,5
arm_mean,14.357201401004586,121.55720140100459,92.84279859899542,tail_ungated,107.2,guard_sender_srpt_forced_rr,5
arm_mean,5875.725710422311,41185.72571042231,29434.27428957769,tail_ungated,35310.0,guard_sender_srpt_non_rr,5
arm_mean,17763.111691506885,271347.11169150687,235820.88830849313,tail_ungated,253584.0,guard_sender_srpt_selections,5
arm_mean,0.0,64.0,64.0,tail_ungated,64.0,guard_srpt_quantum_packets,5
arm_mean,0.0,8.0,8.0,tail_ungated,8.0,guard_tail_bypass_bdps,5
arm_mean,0.0,1.0,1.0,tail_ungated,1.0,guard_tail_bypass_enabled,5
arm_mean,1241.0906516457144,15802.290651645715,13320.109348354286,tail_ungated,14561.2,guard_tail_bypass_feedbacks,5
arm_mean,30.439767084287176,391.43976708428715,330.56023291571285,tail_ungated,361.0,guard_tail_bypass_flows,5
arm_mean,36.291865459812485,76.8918654598125,4.308134540187517,tail_ungated,40.6,hpcc_actual_rate_changes,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,hpcc_fast_computations,5
arm_mean,321.35238206944615,2005.352382069446,1362.647617930554,tail_ungated,1684.0,hpcc_feedback_updates,5
arm_mean,58.71114699357002,470.31114699357005,352.88885300643,tail_ungated,411.6,hpcc_full_computations,5
arm_mean,58.71114699357002,470.31114699357005,352.88885300643,tail_ungated,411.6,hpcc_rate_updates_applied,5
arm_mean,67.68150887911965,536.4815088791197,401.1184911208804,tail_ungated,468.8,hpcc_valid_feedback,5
arm_mean,2779.3374318796177,36703.73743187962,31145.062568120382,tail_ungated,33924.4,int_hops_after_strip,5
arm_mean,4447.328316078864,69017.52831607887,60122.871683921134,tail_ungated,64570.2,int_hops_before_strip,5
arm_mean,2317.4251342165417,32963.22513421654,28328.37486578346,tail_ungated,30645.8,int_records_stripped,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,irn_nacks_generated,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,irn_nacks_received,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,irn_retransmit_bytes,5
arm_mean,0.0,0.0,0.0,tail_ungated,0.0,irn_retransmit_packets,5
arm_mean,0.045688159755854676,7.0617468737661735,6.970370554254464,tail_ungated,7.0160587140103186,le_8KB_fct_us_mean,5
arm_mean,0.022626051646044018,9.148096051646045,9.102843948353955,tail_ungated,9.12547,le_8KB_fct_us_p95,5
arm_mean,0.05639371361383595,9.454275713613836,9.341488286386163,tail_ungated,9.397882,le_8KB_fct_us_p99,5
arm_mean,66.42264121223032,4308.222641212231,4175.3773587877695,tail_ungated,4241.8,le_8KB_flow_count,5
arm_mean,0.0009562618251524906,1.011793239452255,1.0098807158019503,tail_ungated,1.0108369776271027,le_8KB_slowdown_mean,5
arm_mean,0.0032097380879642146,1.0424335629373742,1.0360140867614456,tail_ungated,1.03922382484941,le_8KB_slowdown_p95,5
arm_mean,0.006400440704749631,1.0933803756515743,1.0805794942420752,tail_ungated,1.0869799349468248,le_8KB_slowdown_p99,5
arm_mean,0.14388945203743747,1.9198614797516578,1.632082575676783,tail_ungated,1.7759720277142204,long_to_small_slowdown_mean_ratio,5
arm_mean,0.8779890330850845,4.877989033085084,3.1220109669149156,tail_ungated,4.0,max_active_flows,5
arm_mean,0.6547293020507556,12.743120732172903,11.433662128071392,tail_ungated,12.088391430122147,overall_fct_us_mean,5
arm_mean,0.7121283526529575,17.25879835265296,15.834541647347045,tail_ungated,16.546670000000002,overall_fct_us_p95,5
arm_mean,15.39740184445051,200.22926984444973,169.4344661555487,tail_ungated,184.83186799999922,overall_fct_us_p99,5
arm_mean,104.52642889407485,6196.326428894075,5987.273571105925,tail_ungated,6091.8,overall_flow_count,5
