arm,metric,seed,value
lambda180,1BDP_to_1MB_fct_us_mean,46,48.57191515151515
lambda180,1BDP_to_1MB_fct_us_p95,46,143.31400000000008
lambda180,1BDP_to_1MB_fct_us_p99,46,205.40324000000027
lambda180,1BDP_to_1MB_flow_count,46,165.0
lambda180,1BDP_to_1MB_slowdown_mean,46,1.2906708515093552
lambda180,1BDP_to_1MB_slowdown_p95,46,1.9126807580021268
lambda180,1BDP_to_1MB_slowdown_p99,46,2.5002792319148623
lambda180,8KB_to_1BDP_fct_us_mean,46,9.182420362273579
lambda180,8KB_to_1BDP_fct_us_p95,46,14.606
lambda180,8KB_to_1BDP_fct_us_p99,46,18.86
lambda180,8KB_to_1BDP_flow_count,46,1601.0
lambda180,8KB_to_1BDP_slowdown_mean,46,1.0437807789758846
lambda180,8KB_to_1BDP_slowdown_p95,46,1.173186409550046
lambda180,8KB_to_1BDP_slowdown_p99,46,1.375586854460094
lambda180,aggregate_goodput_gbps,46,186.95797512838223
lambda180,completion_releases,46,0.0
lambda180,completion_span_us,46,10077.913
lambda180,grant_binding_rate_changes,46,0.0
lambda180,grant_binding_updates,46,47.0
lambda180,grant_bytes_sent,46,288110.0
lambda180,grant_event_rate_changes,46,1152.0
lambda180,grants_received,46,3065.0
lambda180,grants_sent,46,3065.0
lambda180,gt_1MB_fct_us_mean,46,233.90347435897436
lambda180,gt_1MB_fct_us_p95,46,419.1065000000001
lambda180,gt_1MB_fct_us_p99,46,529.4146700000001
lambda180,gt_1MB_flow_count,46,78.0
lambda180,gt_1MB_slowdown_mean,46,1.734157921166472
lambda180,gt_1MB_slowdown_p95,46,2.934593454594343
lambda180,gt_1MB_slowdown_p99,46,3.6022748046659596
lambda180,guard_ack_interval_packets,46,8.0
lambda180,guard_adaptive_grant_updates,46,0.0
lambda180,guard_fixed_window,46,1.0
lambda180,guard_grant_refresh_bdps,46,1.0
lambda180,guard_long_acks_suppressed,46,157824.0
lambda180,guard_min_share_fraction,46,0.0
lambda180,guard_one_rtt_acks_suppressed,46,51935.0
lambda180,guard_one_rtt_bypass_enabled,46,1.0
lambda180,guard_one_rtt_bypass_feedbacks,46,5781.0
lambda180,guard_one_rtt_bypass_flows,46,5781.0
lambda180,guard_rebalance_events,46,0.0
lambda180,guard_remaining_aware,46,1.0
lambda180,guard_remaining_exponent,46,1.0
lambda180,guard_remaining_refresh_events,46,2066.0
lambda180,guard_sender_srpt_enabled,46,1.0
lambda180,guard_sender_srpt_forced_rr,46,108.0
lambda180,guard_sender_srpt_non_rr,46,32382.0
lambda180,guard_sender_srpt_selections,46,238583.0
lambda180,guard_srpt_quantum_packets,46,64.0
lambda180,guard_tail_bypass_bdps,46,8.0
lambda180,guard_tail_bypass_enabled,46,1.0
lambda180,guard_tail_bypass_feedbacks,46,13471.0
lambda180,guard_tail_bypass_flows,46,333.0
lambda180,hpcc_actual_rate_changes,46,21.0
lambda180,hpcc_fast_computations,46,0.0
lambda180,hpcc_feedback_updates,46,1608.0
lambda180,hpcc_full_computations,46,352.0
lambda180,hpcc_rate_updates_applied,46,352.0
lambda180,hpcc_valid_feedback,46,406.0
lambda180,int_hops_after_strip,46,32286.0
lambda180,int_hops_before_strip,46,61110.0
lambda180,int_records_stripped,46,28824.0
lambda180,irn_nacks_generated,46,0.0
lambda180,irn_nacks_received,46,0.0
lambda180,irn_retransmit_bytes,46,0.0
lambda180,irn_retransmit_packets,46,0.0
lambda180,le_8KB_fct_us_mean,46,6.994713583138173
lambda180,le_8KB_fct_us_p95,46,9.124
lambda180,le_8KB_fct_us_p99,46,9.43131
lambda180,le_8KB_flow_count,46,4270.0
lambda180,le_8KB_slowdown_mean,46,1.0108454170786798
lambda180,le_8KB_slowdown_p95,46,1.0411980918708417
lambda180,le_8KB_slowdown_p99,46,1.0924567042107585
lambda180,long_to_small_slowdown_mean_ratio,46,1.7155520437320166
lambda180,max_active_flows,46,3.0
lambda180,overall_fct_us_mean,46,11.584448642459929
lambda180,overall_fct_us_p95,46,14.944450000000018
lambda180,overall_fct_us_p99,46,180.29821999999984
lambda180,overall_flow_count,46,6114.0
lambda180,overall_slowdown_mean,46,1.0362492584913938
lambda180,overall_slowdown_p95,46,1.1327213603844681
lambda180,overall_slowdown_p99,46,1.5805965058739901
lambda180,pfc_pause_events,46,0.0
lambda180,pfc_resume_events,46,0.0
lambda180,proactive_releases,46,333.0
lambda180,queue_bytes_max,46,416309.0
lambda180,queue_bytes_mean,46,2244.475
lambda180,queue_bytes_p95,46,5450.0
lambda180,queue_bytes_p99,46,69760.0
lambda180,queue_sample_count,46,160000.0
lambda180,reactive_binding_rate_changes,46,17.0
lambda180,reactive_binding_updates,46,17.0
lambda180,recovery_nacks_generated,46,0.0
lambda180,recovery_nacks_received,46,0.0
lambda180,registrations,46,333.0
lambda180,selected_registrations,46,333.0
lambda180,tie_binding_rate_changes,46,4.0
lambda180,tie_binding_updates,46,288.0
lambda180,timeout_recoveries,46,0.0
lambda200,1BDP_to_1MB_fct_us_mean,46,48.56844848484848
lambda200,1BDP_to_1MB_fct_us_p95,46,143.36200000000008
lambda200,1BDP_to_1MB_fct_us_p99,46,205.40324000000027
lambda200,1BDP_to_1MB_flow_count,46,165.0
lambda200,1BDP_to_1MB_slowdown_mean,46,1.2905766973284816
lambda200,1BDP_to_1MB_slowdown_p95,46,1.9126807580021268
lambda200,1BDP_to_1MB_slowdown_p99,46,2.5002792319148623
lambda200,8KB_to_1BDP_fct_us_mean,46,9.180612742036228
lambda200,8KB_to_1BDP_fct_us_p95,46,14.606
lambda200,8KB_to_1BDP_fct_us_p99,46,18.856
lambda200,8KB_to_1BDP_flow_count,46,1601.0
lambda200,8KB_to_1BDP_slowdown_mean,46,1.0436416159742194
lambda200,8KB_to_1BDP_slowdown_p95,46,1.173186409550046
lambda200,8KB_to_1BDP_slowdown_p99,46,1.3700593600694948
lambda200,aggregate_goodput_gbps,46,186.95797512838223
lambda200,completion_releases,46,0.0
lambda200,completion_span_us,46,10077.913
lambda200,grant_binding_rate_changes,46,0.0
lambda200,grant_binding_updates,46,47.0
lambda200,grant_bytes_sent,46,287640.0
lambda200,grant_event_rate_changes,46,1142.0
lambda200,grants_received,46,3060.0
lambda200,grants_sent,46,3060.0
lambda200,gt_1MB_fct_us_mean,46,233.64132051282053
lambda200,gt_1MB_fct_us_p95,46,419.1065000000001
lambda200,gt_1MB_fct_us_p99,46,529.5747500000001
lambda200,gt_1MB_flow_count,46,78.0
lambda200,gt_1MB_slowdown_mean,46,1.7323466487730723
lambda200,gt_1MB_slowdown_p95,46,2.934593454594343
lambda200,gt_1MB_slowdown_p99,46,3.603361286089625
lambda200,guard_ack_interval_packets,46,8.0
lambda200,guard_adaptive_grant_updates,46,0.0
lambda200,guard_fixed_window,46,1.0
lambda200,guard_grant_refresh_bdps,46,1.0
lambda200,guard_long_acks_suppressed,46,157824.0
lambda200,guard_min_share_fraction,46,0.0
lambda200,guard_one_rtt_acks_suppressed,46,51935.0
lambda200,guard_one_rtt_bypass_enabled,46,1.0
lambda200,guard_one_rtt_bypass_feedbacks,46,5781.0
lambda200,guard_one_rtt_bypass_flows,46,5781.0
lambda200,guard_rebalance_events,46,0.0
lambda200,guard_remaining_aware,46,1.0
lambda200,guard_remaining_exponent,46,1.0
lambda200,guard_remaining_refresh_events,46,2066.0
lambda200,guard_sender_srpt_enabled,46,1.0
lambda200,guard_sender_srpt_forced_rr,46,109.0
lambda200,guard_sender_srpt_non_rr,46,32342.0
lambda200,guard_sender_srpt_selections,46,238583.0
lambda200,guard_srpt_quantum_packets,46,64.0
lambda200,guard_tail_bypass_bdps,46,8.0
