analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,4.822680672597336,53.25784892981225,43.612487584617575,tail8,48.43516825721491,1BDP_to_1MB_fct_us_mean,5
arm_mean,15.949541788131704,148.82948178813166,116.93039821186824,tail8,132.87993999999995,1BDP_to_1MB_fct_us_p95,5
arm_mean,24.517922396377664,250.35987039637766,201.32402560362235,tail8,225.841948,1BDP_to_1MB_fct_us_p99,5
arm_mean,4.856795354126119,194.25679535412613,184.54320464587389,tail8,189.4,1BDP_to_1MB_flow_count,5
arm_mean,0.037838676270063716,1.3646841373812602,1.2890067848411326,tail8,1.3268454611111964,1BDP_to_1MB_slowdown_mean,5
arm_mean,0.14865105241806667,2.1830145953170446,1.885712490480911,tail8,2.0343635428989777,1BDP_to_1MB_slowdown_p95,5
arm_mean,0.22768001820449554,2.9245275528651424,2.4691675164561513,tail8,2.696847534660647,1BDP_to_1MB_slowdown_p99,5
arm_mean,0.04020422953356245,9.242136063862585,9.161727604795459,tail8,9.201931834329022,8KB_to_1BDP_fct_us_mean,5
arm_mean,0.10602956321026659,15.280279563210268,15.068220436789733,tail8,15.17425,8KB_to_1BDP_fct_us_p95,5
arm_mean,0.698414480930088,19.464690480930084,18.06786151906991,tail8,18.766275999999998,8KB_to_1BDP_fct_us_p99,5
arm_mean,58.13984773478971,1637.1398477347898,1520.8601522652102,tail8,1579.0,8KB_to_1BDP_flow_count,5
arm_mean,0.0036623208288865724,1.049493463125368,1.0421688214675948,tail8,1.0458311422964814,8KB_to_1BDP_slowdown_mean,5
arm_mean,0.009338253601557784,1.192578376418675,1.1739018692155594,tail8,1.1832401228171172,8KB_to_1BDP_slowdown_p95,5
arm_mean,0.042905339605324326,1.428113499860355,1.3423028206497065,tail8,1.3852081602550308,8KB_to_1BDP_slowdown_p99,5
arm_mean,23.91240412872446,221.486595673653,173.66178741620408,tail8,197.57419154492854,aggregate_goodput_gbps,5
arm_mean,0.0,0.0,0.0,tail8,0.0,completion_releases,5
arm_mean,277.6504251641546,10465.799625164154,9910.498774835845,tail8,10188.1492,completion_span_us,5
arm_mean,1.1105780420791194,1.7105780420791192,-0.5105780420791194,tail8,0.6,grant_binding_rate_changes,5
arm_mean,40.496143675588364,120.69614367558836,39.70385632441164,tail8,80.2,grant_binding_updates,5
arm_mean,54849.20285903237,364579.2028590324,254880.79714096762,tail8,309730.0,grant_bytes_sent,5
arm_mean,184.45419155271293,902.054191552713,533.1458084472871,tail8,717.6,grant_event_rate_changes,5
arm_mean,583.5021580748124,3878.5021580748125,2711.4978419251875,tail8,3295.0,grants_received,5
arm_mean,583.5021580748124,3878.5021580748125,2711.4978419251875,tail8,3295.0,grants_sent,5
arm_mean,19.888349997607214,265.222431009894,225.44573101467958,tail8,245.3340810122868,gt_1MB_fct_us_mean,5
arm_mean,108.17865952067035,587.0824595206702,370.7251404793295,tail8,478.9037999999999,gt_1MB_fct_us_p95,5
