arm,elapsed_seconds,flow_count,flow_sha256,git_sha,output_bytes,output_dir,output_id,passed,seed
adaptive_off,2,6116,8e07e34f4992a5173d41aded30017a9d337cb19a0a12bf98ac0d06d5f5e093c8,d1ce0ff8056314757fe21f56cd473d3930612d49,652050,mix/output/944428884,944428884,True,96
scope16,2,6116,8e07e34f4992a5173d41aded30017a9d337cb19a0a12bf98ac0d06d5f5e093c8,d1ce0ff8056314757fe21f56cd473d3930612d49,653011,mix/output/790818958,790818958,True,96
scope24,2,6116,8e07e34f4992a5173d41aded30017a9d337cb19a0a12bf98ac0d06d5f5e093c8,d1ce0ff8056314757fe21f56cd473d3930612d49,653321,mix/output/322992744,322992744,True,96
scope32,2,6116,8e07e34f4992a5173d41aded30017a9d337cb19a0a12bf98ac0d06d5f5e093c8,d1ce0ff8056314757fe21f56cd473d3930612d49,653321,mix/output/458742380,458742380,True,96
adaptive_off,2,6142,784cca47a2159f7db91e90161d0e6ce8646e4a72f7303136ab734fe2a10fba56,d1ce0ff8056314757fe21f56cd473d3930612d49,656133,mix/output/136978501,136978501,True,97
scope16,2,6142,784cca47a2159f7db91e90161d0e6ce8646e4a72f7303136ab734fe2a10fba56,d1ce0ff8056314757fe21f56cd473d3930612d49,656723,mix/output/517924183,517924183,True,97
scope24,2,6142,784cca47a2159f7db91e90161d0e6ce8646e4a72f7303136ab734fe2a10fba56,d1ce0ff8056314757fe21f56cd473d3930612d49,656285,mix/output/270420792,270420792,True,97
scope32,2,6142,784cca47a2159f7db91e90161d0e6ce8646e4a72f7303136ab734fe2a10fba56,d1ce0ff8056314757fe21f56cd473d3930612d49,656285,mix/output/277980452,277980452,True,97
adaptive_off,2,6075,a76b88e3cd243ff4b35e0be11930febc5a073bd27bbff338cd2ba87c3c60fcf6,d1ce0ff8056314757fe21f56cd473d3930612d49,643901,mix/output/361412453,361412453,True,98
scope16,2,6075,a76b88e3cd243ff4b35e0be11930febc5a073bd27bbff338cd2ba87c3c60fcf6,d1ce0ff8056314757fe21f56cd473d3930612d49,644835,mix/output/500283557,500283557,True,98
scope24,2,6075,a76b88e3cd243ff4b35e0be11930febc5a073bd27bbff338cd2ba87c3c60fcf6,d1ce0ff8056314757fe21f56cd473d3930612d49,644837,mix/output/458784314,458784314,True,98
scope32,2,6075,a76b88e3cd243ff4b35e0be11930febc5a073bd27bbff338cd2ba87c3c60fcf6,d1ce0ff8056314757fe21f56cd473d3930612d49,644837,mix/output/876464804,876464804,True,98
adaptive_off,2,6078,ed3e0b82eea028334182a0a16037e89aa2a71a4ec2063a9860879b2aa1a78098,d1ce0ff8056314757fe21f56cd473d3930612d49,658544,mix/output/871135743,871135743,True,99
scope16,2,6078,ed3e0b82eea028334182a0a16037e89aa2a71a4ec2063a9860879b2aa1a78098,d1ce0ff8056314757fe21f56cd473d3930612d49,657121,mix/output/14215082,14215082,True,99
scope24,2,6078,ed3e0b82eea028334182a0a16037e89aa2a71a4ec2063a9860879b2aa1a78098,d1ce0ff8056314757fe21f56cd473d3930612d49,657192,mix/output/568269893,568269893,True,99
scope32,2,6078,ed3e0b82eea028334182a0a16037e89aa2a71a4ec2063a9860879b2aa1a78098,d1ce0ff8056314757fe21f56cd473d3930612d49,657193,mix/output/342657979,342657979,True,99
adaptive_off,2,6156,87d113727d0089be46e23eafc2b35f5fef8d6d7e359fc126daa6bb0ffe1dfdd5,d1ce0ff8056314757fe21f56cd473d3930612d49,657314,mix/output/426911128,426911128,True,100
scope16,2,6156,87d113727d0089be46e23eafc2b35f5fef8d6d7e359fc126daa6bb0ffe1dfdd5,d1ce0ff8056314757fe21f56cd473d3930612d49,657721,mix/output/268125862,268125862,True,100
scope24,2,6156,87d113727d0089be46e23eafc2b35f5fef8d6d7e359fc126daa6bb0ffe1dfdd5,d1ce0ff8056314757fe21f56cd473d3930612d49,657723,mix/output/325845175,325845175,True,100
scope32,2,6156,87d113727d0089be46e23eafc2b35f5fef8d6d7e359fc126daa6bb0ffe1dfdd5,d1ce0ff8056314757fe21f56cd473d3930612d49,657723,mix/output/696517953,696517953,True,100
