analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,2.9963254688492134,50.15105768914138,44.15840675144295,adaptive_off,47.15473222029217,1BDP_to_1MB_fct_us_mean,5
arm_mean,11.28740031539773,138.73221031539777,116.1574096846023,adaptive_off,127.44481000000003,1BDP_to_1MB_fct_us_p95,5
arm_mean,43.24146282749658,262.19336282749657,175.7104371725034,adaptive_off,218.95189999999997,1BDP_to_1MB_fct_us_p99,5
arm_mean,6.605372389920251,206.00537238992027,192.79462761007974,adaptive_off,199.4,1BDP_to_1MB_flow_count,5
arm_mean,0.028731860380616495,1.3519657621592018,1.2945020413979687,adaptive_off,1.3232339017785852,1BDP_to_1MB_slowdown_mean,5
arm_mean,0.13789276026032288,2.1612907805474104,1.8855052600267646,adaptive_off,2.0233980202870874,1BDP_to_1MB_slowdown_p95,5
arm_mean,0.6233160010092788,3.4055816279103195,2.1589496258917618,adaptive_off,2.7822656269010406,1BDP_to_1MB_slowdown_p99,5
arm_mean,0.09749325565089657,9.336343383540424,9.141356872238632,adaptive_off,9.238850127889528,8KB_to_1BDP_fct_us_mean,5
arm_mean,0.2377575553471815,15.504417555347183,15.02890244465282,adaptive_off,15.266660000000002,8KB_to_1BDP_fct_us_p95,5
arm_mean,0.4846622027553588,19.810040202755353,18.840715797244634,adaptive_off,19.325377999999994,8KB_to_1BDP_fct_us_p99,5
arm_mean,42.11968800620171,1688.9196880062016,1604.6803119937983,adaptive_off,1646.8,8KB_to_1BDP_flow_count,5
arm_mean,0.004569324672231562,1.0517405521539416,1.0426019028094784,adaptive_off,1.04717122748171,8KB_to_1BDP_slowdown_mean,5
arm_mean,0.0213073636702977,1.2115573486174172,1.168942621276822,adaptive_off,1.1902499849471195,8KB_to_1BDP_slowdown_p95,5
arm_mean,0.06544605742463513,1.4827770929040718,1.3518849780548015,adaptive_off,1.4173310354794366,8KB_to_1BDP_slowdown_p99,5
arm_mean,18.8811976462131,221.82936925421626,184.06697396179004,adaptive_off,202.94817160800315,aggregate_goodput_gbps,5
arm_mean,0.0,0.0,0.0,adaptive_off,0.0,completion_releases,5
arm_mean,53.196924451997475,10170.776924451997,10064.383075548003,adaptive_off,10117.58,completion_span_us,5
arm_mean,1.1105780420791194,1.7105780420791192,-0.5105780420791194,adaptive_off,0.6,grant_binding_rate_changes,5
arm_mean,23.803058323038993,101.803058323039,54.196941676961,adaptive_off,78.0,grant_binding_updates,5
arm_mean,57550.72129443505,384482.72129443503,269381.27870556497,adaptive_off,326932.0,grant_bytes_sent,5
arm_mean,161.16157763386792,936.9615776338678,614.6384223661321,adaptive_off,775.8,grant_event_rate_changes,5
arm_mean,612.2417158982452,4090.2417158982453,2865.7582841017547,adaptive_off,3478.0,grants_received,5
arm_mean,612.2417158982452,4090.2417158982453,2865.7582841017547,adaptive_off,3478.0,grants_sent,5
arm_mean,37.77892137766706,290.0426538825775,214.48481112724335,adaptive_off,252.26373250491042,gt_1MB_fct_us_mean,5
arm_mean,80.08770915160976,566.1731391516097,405.99772084839014,adaptive_off,486.0854299999999,gt_1MB_fct_us_p95,5
arm_mean,314.16831918290796,1018.8792031829082,390.5425648170922,adaptive_off,704.7108840000002,gt_1MB_fct_us_p99,5
arm_mean,15.018489390511073,100.61848939051107,70.58151060948892,adaptive_off,85.6,gt_1MB_flow_count,5
arm_mean,0.2356188852184822,2.114056112997115,1.6428183425601504,adaptive_off,1.8784372277786325,gt_1MB_slowdown_mean,5
arm_mean,0.6649079264257813,4.1841763477768765,2.8543604949253143,adaptive_off,3.5192684213510956,gt_1MB_slowdown_p95,5
