arm,metric,seed,value
adaptive_off,1BDP_to_1MB_fct_us_mean,101,44.557538461538456
adaptive_off,1BDP_to_1MB_fct_us_p95,101,114.10180000000007
adaptive_off,1BDP_to_1MB_fct_us_p99,101,181.66604000000027
adaptive_off,1BDP_to_1MB_flow_count,101,195.0
adaptive_off,1BDP_to_1MB_slowdown_mean,101,1.2996307004422092
adaptive_off,1BDP_to_1MB_slowdown_p95,101,1.8792651505961089
adaptive_off,1BDP_to_1MB_slowdown_p99,101,2.563688783266396
adaptive_off,8KB_to_1BDP_fct_us_mean,101,9.20174441687345
adaptive_off,8KB_to_1BDP_fct_us_p95,101,15.288050000000002
adaptive_off,8KB_to_1BDP_fct_us_p99,101,19.08579000000001
adaptive_off,8KB_to_1BDP_flow_count,101,1612.0
adaptive_off,8KB_to_1BDP_slowdown_mean,101,1.044384595446314
adaptive_off,8KB_to_1BDP_slowdown_p95,101,1.1727688041245514
adaptive_off,8KB_to_1BDP_slowdown_p99,101,1.4024711969407282
adaptive_off,aggregate_goodput_gbps,101,198.85130679511272
adaptive_off,completion_releases,101,0.0
adaptive_off,completion_span_us,101,10095.653
adaptive_off,grant_binding_rate_changes,101,0.0
adaptive_off,grant_binding_updates,101,81.0
adaptive_off,grant_bytes_sent,101,310294.0
adaptive_off,grant_event_rate_changes,101,729.0
adaptive_off,grants_received,101,3301.0
adaptive_off,grants_sent,101,3301.0
adaptive_off,gt_1MB_fct_us_mean,101,246.82980952380953
adaptive_off,gt_1MB_fct_us_p95,101,481.1131499999997
adaptive_off,gt_1MB_fct_us_p99,101,675.7031500000004
adaptive_off,gt_1MB_flow_count,101,84.0
adaptive_off,gt_1MB_slowdown_mean,101,1.8384828181347603
adaptive_off,gt_1MB_slowdown_p95,101,3.378347322587875
adaptive_off,gt_1MB_slowdown_p99,101,4.625600525583655
adaptive_off,guard_ack_interval_packets,101,8.0
adaptive_off,guard_adaptive_grant_updates,101,0.0
adaptive_off,guard_adaptive_target_enabled,101,0.0
adaptive_off,guard_adaptive_target_max_bdps,101,0.0
adaptive_off,guard_adaptive_target_max_queue_bdps,101,0.0
adaptive_off,guard_adaptive_target_min_observed,101,1.71
adaptive_off,guard_adaptive_target_updates,101,0.0
adaptive_off,guard_fixed_window,101,1.0
adaptive_off,guard_grant_refresh_bdps,101,1.0
adaptive_off,guard_long_acks_suppressed,101,169406.0
adaptive_off,guard_min_share_fraction,101,0.0
adaptive_off,guard_one_rtt_acks_suppressed,101,53991.0
adaptive_off,guard_one_rtt_bypass_enabled,101,1.0
adaptive_off,guard_one_rtt_bypass_feedbacks,101,5919.0
adaptive_off,guard_one_rtt_bypass_flows,101,5919.0
adaptive_off,guard_queue_budget_bdps,101,0.5
adaptive_off,guard_rebalance_events,101,0.0
adaptive_off,guard_remaining_aware,101,1.0
adaptive_off,guard_remaining_exponent,101,1.0
adaptive_off,guard_remaining_refresh_events,101,2187.0
adaptive_off,guard_sender_srpt_enabled,101,1.0
adaptive_off,guard_sender_srpt_forced_rr,101,119.0
adaptive_off,guard_sender_srpt_non_rr,101,35055.0
adaptive_off,guard_sender_srpt_selections,101,254084.0
adaptive_off,guard_srpt_quantum_packets,101,64.0
adaptive_off,guard_tail_bypass_bdps,101,8.0
adaptive_off,guard_tail_bypass_enabled,101,1.0
adaptive_off,guard_tail_bypass_feedbacks,101,14579.0
adaptive_off,guard_tail_bypass_flows,101,378.0
adaptive_off,guard_target_floor,101,0.95
adaptive_off,hpcc_actual_rate_changes,101,43.0
adaptive_off,hpcc_fast_computations,101,0.0
adaptive_off,hpcc_feedback_updates,101,1535.0
adaptive_off,hpcc_full_computations,101,403.0
adaptive_off,hpcc_rate_updates_applied,101,403.0
adaptive_off,hpcc_valid_feedback,101,458.0
adaptive_off,int_hops_after_strip,101,34422.0
adaptive_off,int_hops_before_strip,101,65109.0
adaptive_off,int_records_stripped,101,30687.0
adaptive_off,irn_nacks_generated,101,0.0
adaptive_off,irn_nacks_received,101,0.0
adaptive_off,irn_retransmit_bytes,101,0.0
adaptive_off,irn_retransmit_packets,101,0.0
adaptive_off,le_8KB_fct_us_mean,101,7.011716068996822
adaptive_off,le_8KB_fct_us_p95,101,9.14175
adaptive_off,le_8KB_fct_us_p99,101,9.446449999999997
adaptive_off,le_8KB_flow_count,101,4406.0
adaptive_off,le_8KB_slowdown_mean,101,1.0113390777611782
adaptive_off,le_8KB_slowdown_p95,101,1.0416764526467173
adaptive_off,le_8KB_slowdown_p99,101,1.0836248583703167
adaptive_off,long_to_small_slowdown_mean_ratio,101,1.8178698505397883
adaptive_off,max_active_flows,101,4.0
adaptive_off,overall_fct_us_mean,101,11.934136414165476
adaptive_off,overall_fct_us_p95,101,16.722999999999992
adaptive_off,overall_fct_us_p99,101,180.04027999999985
adaptive_off,overall_flow_count,101,6297.0
adaptive_off,overall_slowdown_mean,101,1.0397599631228773
adaptive_off,overall_slowdown_p95,101,1.1484703467799389
adaptive_off,overall_slowdown_p99,101,1.6345012325274342
adaptive_off,pfc_pause_events,101,0.0
adaptive_off,pfc_resume_events,101,0.0
adaptive_off,proactive_releases,101,378.0
adaptive_off,queue_bytes_max,101,327151.0
adaptive_off,queue_bytes_mean,101,2764.368
adaptive_off,queue_bytes_p95,101,7630.0
adaptive_off,queue_bytes_p99,101,93740.0
adaptive_off,queue_sample_count,101,160000.0
adaptive_off,reactive_binding_rate_changes,101,41.0
adaptive_off,reactive_binding_updates,101,41.0
adaptive_off,recovery_nacks_generated,101,0.0
adaptive_off,recovery_nacks_received,101,0.0
adaptive_off,registrations,101,378.0
adaptive_off,selected_registrations,101,378.0
adaptive_off,tie_binding_rate_changes,101,2.0
adaptive_off,tie_binding_updates,101,281.0
adaptive_off,timeout_recoveries,101,0.0
